"Academic Institutions (Category of AI wise) As on July 31, 2020",,,
AI Code,AI Name,State,Type/Category of Academic Institution (AI)
10337,"Central University of Karnataka, Gulbarga",Karnataka,Central University
10357,"Central Univeristy of Kerala, Kasaragod",Kerala,Central University
10410,"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar",Madhya Pradesh,Central University
10372,"Indira Gandhi National Tribal University, Amarkantak",Madhya Pradesh,Central University
10465,"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha",Maharashtra,Central University
10468,"Manipur University, Imphal",Manipur,Central University
10474,"North Eastern Hill University, Shillong",Meghalaya,Central University
10481,"Mizoram University, Aizwal",Mizoram,Central University
10487,Nagaland University,Nagaland,Central University
10503,"Central University of Orissa, Koraput",Odisha,Central University
10513,Jawaharlal Institute of Postgradute Medical Education & Research,Puducherry,Central University
10514,"Pondicherry Univeristy, Puducherry",Puducherry,Central University
10544,"Central University of Rajasthan, Jaipur",Rajasthan,Central University
10620,"Sikkim  University, Gangtok",Sikkim,Central University
10674,"Central University of Tamil Nadu, Tiruvarur",Tamil Nadu,Central University
10630,Indian Maritime University,Tamil Nadu,Central University
10691,"The English and Foreign Languages University, Hyderabad",Telangana,Central University
10711,"Tripura University, Agartala",Tripura,Central University
10751,"Babasheb Bhimrao Ambedkar University, Lucknow",Uttar Pradesh,Central University
10816,"Visva Bharati, Shantiniketan",West Bengal,Central University
10008,"Rastriya Sanskrit Vidyapeeth, Tirupathi",Andhra Pradesh,Deemed to be University
10003,"Sri Satya Sai Institute of Higher Learning, Anantpur",Andhra Pradesh,Deemed to be University
10020,"Vignan's Foundation of Science, Technology & Research, Guntur",Andhra Pradesh,Deemed to be University
10040,North Eastern Regional Institute of Science & Technology,Arunachal Pradesh,Deemed to be University
10074,"Nava Nalanda Mahavihara, Nalanda",Bihar,Deemed to be University
10117,Indian Agricultural Research Institute New Delhi,Delhi,Deemed to be University
10119,"Indian Law Institute, Bhagwandas Road, New Delhi",Delhi,Deemed to be University
10132,Jamia Hamdard,Delhi,Deemed to be University
10141,"Rashtriya Sanskrit Sansthan, New Delhi",Delhi,Deemed to be University
10138,"TERI School of Advanced Studies, New Delhi",Delhi,Deemed to be University
10153,"Gujarat Vidyapith, Ahmedabad",Gujarat,Deemed to be University
12180,"National Rail and Transportation Institute (NRTI), Vadodara",Gujarat,Deemed to be University
10208,"Lingaya's University, Faridabad",Haryana,Deemed to be University
10227,"National Dairy  Research Institute, Karnal",Haryana,Deemed to be University
10287,"Birla Institute of Technology, Ranchi",Jharkhand,Deemed to be University
10301,"Christ University, Bangalore",Karnataka,Deemed to be University
10304,"Indian Institute of Science, Bangalore",Karnataka,Deemed to be University
10341,"JSS Academy of Higher Education & Research, Mysuru",Karnataka,Deemed to be University
10351,"Manipal Academy of Higher Education, Manipal",Karnataka,Deemed to be University
10329,"NITTE University, Mangalore",Karnataka,Deemed to be University
10340,"Sri Devraj Urs Acaedmy of Highehr Education and Research, Kolar",Karnataka,Deemed to be University
10318,"Swami Vivekananda Yoga Anusandhana Samsthan, Bangalore",Karnataka,Deemed to be University
10365,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Kerala,Deemed to be University
10395,"Lakshmibai National Institute of Physical Education, Gwalior",Madhya Pradesh,Deemed to be University
10426,"D.Y. Patil Educational Society , Kolhapur",Maharashtra,Deemed to be University
10439,"Datta Meghe Institute of Medical Sciences, Wardha",Maharashtra,Deemed to be University
10452,"Dr. D .Y. Patil Vidyapeeth, Pune",Maharashtra,Deemed to be University
10460,"MGM Institute of Health Sciences, Navi  Mumbai",Maharashtra,Deemed to be University
10435,"Narsee Monjee Institute of Management Studies, Mumbai",Maharashtra,Deemed to be University
10437,"Tata Institute of Fundamental Research, Mumbai",Maharashtra,Deemed to be University
10500,Siksha 'O' Anusandhan University,Odisha,Deemed to be University
10515,Sri Balaji Vidyapeeth,Puducherry,Deemed to be University
10557,"Institute of Advanced Studies in Education, Churu",Rajasthan,Deemed to be University
10604,"Jain Vishva Bharati Institute, Ladnun",Rajasthan,Deemed to be University
10571,"LNM Institute of Information Technology, Jaipur",Rajasthan,Deemed to be University
10637,"Amrita Vishwa Vidyapeetham, Coimbatore",Tamil Nadu,Deemed to be University
10647,Bharath Institute of Higher Education & Research,Tamil Nadu,Deemed to be University
10644,"Gandhigram Rural Institute, Dindigul",Tamil Nadu,Deemed to be University
10650,"Hindustan Institute of Technology and Science, Kancheepuram",Tamil Nadu,Deemed to be University
10682,"Kalasalingam Academy of Research and Higher Education, Srivilliputhrur",Tamil Nadu,Deemed to be University
10640,Karpagam Academy of higher Education,Tamil Nadu,Deemed to be University
10632,Meenakshi Academy of Higher Education and Research,Tamil Nadu,Deemed to be University
10658,Noorul Islam Centre for Higher Education,Tamil Nadu,Deemed to be University
10653,"Sathyabama Institute of Science & Technology, Chennai",Tamil Nadu,Deemed to be University
10666,"Shanmugha Arts, Science, Technology & Research Academy (SASTRA),Thanjavur",Tamil Nadu,Deemed to be University
10654,"Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya,Kancheepuram",Tamil Nadu,Deemed to be University
10670,"Sri Ramachandra Medical College and Research Institute, Chennai",Tamil Nadu,Deemed to be University
10673,"Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science &Technology, Chennai",Tamil Nadu,Deemed to be University
10681,"Vellore Institute of Technology, Vellore",Tamil Nadu,Deemed to be University
10662,"Vinayaka Missions Research Foundation, Salem",Tamil Nadu,Deemed to be University
10698,"International Institute of Information Technology, Hyderabad",Telangana,Deemed to be University
10779,"Central Institute of Higher Tibetan Studies, Varanasi",Uttar Pradesh,Deemed to be University
10712,"Dayalbagh Educational Institute, Agra",Uttar Pradesh,Deemed to be University
10735,"Jaypee Institute of Information Technology, Noida",Uttar Pradesh,Deemed to be University
10740,"Santosh University, Ghaziabad",Uttar Pradesh,Deemed to be University
10769,"Shobit Institute of Engineering & Technology, Meerut",Uttar Pradesh,Deemed to be University
11075,Alwar School of Business and Computers,Andhra Pradesh,Other institutions -PGDM Institutes
11301,Ambedkar Institute of Management Studies,Andhra Pradesh,Other institutions -PGDM Institutes
11316,Centre for Management and Technology,Andhra Pradesh,Other institutions -PGDM Institutes
30019,Emerald’s Advanced Institute Of Management Studies(EAIMS),Andhra Pradesh,Other institutions -PGDM Institutes
11308,Integral Institute of Advanced Management,Andhra Pradesh,Other institutions -PGDM Institutes
12106,International School of Management Patna,Bihar,Other institutions -PGDM Institutes
11284,Prism School of Business and Entrepreneurship,Chhatisgarh,Other institutions -PGDM Institutes
30077,"All India Management Association, New Delhi",Delhi,Other institutions -PGDM Institutes
11319,Apeejay School of Management,Delhi,Other institutions -PGDM Institutes
11306,Asia-Pacific Institute of Management,Delhi,Other institutions -PGDM Institutes
30115,Bharatiya Vidya Bhavan's Usha & Lakshmi Mittal Institute of Management,Delhi,Other institutions -PGDM Institutes
11311,"Entrepreneurship & Management Processes International, New Delhi",Delhi,Other institutions -PGDM Institutes
11312,Fore School of Management,Delhi,Other institutions -PGDM Institutes
