,NAME,LOCATION,COURSES,CONTACT NO.
80,Sunshine Tutorials,"Khare Town, Dharampeth, Nagpur","IBPS Bank Interview Coaching, Bank exam coaching",
81,Institute of Competitive Exam,"Main Road, Katol Road","IBPS Bank Interview Coaching, Bank exam coaching",
82,Vikalp Education," Behind Ram Mandir, Ram Nagar, Nagpur","KMAT Coaching, Law entrance exam coaching",+912249431815_
83,T. I. M. E - Triumphant Institute of Management Education Pvt. Ltd.," Bharat Nagar Square, Amravati Road, Nagpur","KMAT Coaching, Management entrance exam coaching",
84,Perception," Dharampeth, Dharampeth","KMAT Coaching, Law entrance exam coaching",
85,Cetking Education Pvt Ltd,"nanaji shastri marg , Dharampeth","KMAT Coaching, Management entrance exam coaching",
86,U K English Academy," Dev Nagar, Khamla, Nagpur","Language Training Centres, Spoken english training",+912249429684_
87,Jeet Pinnacle Institute," Bhande Plot Square Nagpur, Nandanvan, Nagpur","Language Training Centres, Spoken english training",+919021113595_
88,Vikalp Education," Behind Ram Mandir, Ram Nagar, Nagpur","Law Entrance Coaching, Law entrance exam coaching",+912249431815_
89,Clatapult Law Coaching By NLU Graduates,"Plot No. 104B, Ram Nagar, Nagpur","Law Entrance Coaching, Law entrance exam coaching",+912249429112_
90,T.I.M.E.,"Plot No.209, Laxmi Nagar","Law Entrance Coaching, Law entrance exam coaching",
91,Career Launcher Hilltop Center," Hilltop Road , Ramnagar","Law Entrance Coaching, Law entrance exam coaching",
92,An Institute of Mentors," Beside Wazalwar Driving School. Nagpur 440010, Shivaji Nagar","Law Entrance Coaching, Law entrance exam coaching",
93,Rp waller,"Amravati Road, Nagpur - ","Law Entrance Coaching, Law entrance exam coaching",
94,DQ Labs," surendra nagar, Laxmi Nagar","NATA Coaching, ENGG / ARCH entrance exam coaching",+912249427380_
95,Rainbow Coaching Classes," Ravindra Nagar, Pratap Nagar","NATA Coaching, ENGG / ARCH entrance exam coaching",+912249428972_
96,We Coach Insti," PMG Colony, Badil Kheda","NATA Coaching, Law entrance exam coaching",+912249434380_
97,Sunshine Tutorials,"Khare Town, Dharampeth","NATA Coaching, Law entrance exam coaching",
98,Eliteacademy,"29, Kukreja Nagar","NATA Coaching, ENGG / ARCH entrance exam coaching",
99,Allen Career Institute," Near Times of India Building, Dharampeth","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",+912249430742_
100,coaching centre," nagpur, Dighori, Nagpur","National Talent Search Exam (NTSE) Coaching, SSC exam coaching",
101,SPAARK MPSC/UPSC/SSC/BANKING Academy," Nandanwan Road, Nandanvan, Nagpur","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
102,The Gate Coach," Mangalwari Complex, Amravati Road, Nagpur","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",+912249430048_
103,Sneha Tution Classes," Bapu Nagar, Nandanvan","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
104,Motion,"Central Railway Colony, Omkar Nagar","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
105,Vikalp Education,"1st Floor, Nandanvan","RRB Entrance Exam Coaching, Online mock test series exam coaching",+912249436661_
106,Gayatri Academy," Behind Haridawar Bulding , Itwari, Nagpur","RRB Entrance Exam Coaching, Defence / police exam coaching",+912249427189_
107,MAHENDRA'S CAREER ACADEMY," Ayodhya Nagar, Ayodhya Nagar, Nagpur","RRB Entrance Exam Coaching, SSC exam coaching",+919021118158_
