,NAME,LOCATION,COURSES,CONTACT NO.
89,Institute Of Foreign Language & Competitive Examination," Jayadev Nagar, Kalpana Square, Bhubaneswar","Language Training Centres, Foreign language training",+911140144819_
90,Prajna Prep," bhubaneswar-07, Sahid Nagar, Bhubaneswar","Law Entrance Coaching, Law entrance exam coaching",+912249428108_
91,Aarohan Classes," Commercial Complex, Acharya Vihar, Bhubaneswar","Law Entrance Coaching, Law entrance exam coaching",+919021117567_
92,Bidyasagar Classes,"Bhubaneswar - 751015, Bhubaneshwar, Bhubaneswar","Law Entrance Coaching, Medical entrance exam coaching",+912249429739_
93,Milan learning resourses management,"A/141, Saheed Nagar, Bhubaneswar","Law Entrance Coaching, Law entrance exam coaching",
94,TIME,"No. B43, Sahid Nagar","Law Entrance Coaching, Law entrance exam coaching",
95,Endeavor Careers Pvt. Ltd.," Janaki Bhawan, Nayapalli, Bhubaneswar","Law Entrance Coaching, Law entrance exam coaching",
96,"Academy of Fashion & Arts, Bhubaneswar"," Saheed Nagar, Saheed Nagar","NATA Coaching, ENGG / ARCH entrance exam coaching",
97,Eduira design coaching institute," Odisha, Jaydev Vihar","NATA Coaching, ENGG / ARCH entrance exam coaching",
98,Trytoon Academy," Palasuni Canal Road, Rasulgarh","NATA Coaching, ENGG / ARCH entrance exam coaching",+912249432060_
99,Allen Career Institute," Near Press Chhak, Gajapati Nagar, Bhubaneswar","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",+912249433989_
100,Allen Career Institute," Bhubaneswar-751023, Ashok Nagar","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",+917569018685_
101,Allen Career Institute," Chandaka Industrial Complex , Patia","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",+912249431840_
102,The Mind Masters,"VSS Nagar, Vani Vihar","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
103,MEDIJEE CLASSES,"Dumduma, Bhubaneswar - 751019","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
104,MEDI-JEE CLASSES,"Dumduma, Bhubaneswar - 751019","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
105,After Hours," Baramunda Colony, Baramunda, Bhubaneswar","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
106,PLANET VIDYA," Odisha 751013, Acharya Vihar","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
107,Adwitiya Academy,"N6/435, Nayapalli, Bhubaneswar","RRB Entrance Exam Coaching, SSC exam coaching",+919021117934_
108,The Competitive Point," Infront Big Bazzar, Satya Nagar, Bhubaneswar","RRB Entrance Exam Coaching, Defence / police exam coaching",+912249451761_
109,Aarohan Classes," Commercial Complex, Acharya Vihar, Bhubaneswar","RRB Entrance Exam Coaching, UGC NET coaching",+919021117567_
110,Adarsh Academy,"Plot no-a/41 sahidnagar.backside of Pantaloon, Saheed Nagar, Bhubaneswar","RRB Entrance Exam Coaching, Teachers exam coaching",+912249434601_
111,Bidyasagar Classes,"Bhubaneswar - 751015, Bhubaneshwar, Bhubaneswar","RRB Entrance Exam Coaching, Teachers exam coaching",+912249429739_
112,M Power Group ( Planet Vidya ),"Ground Floor, Acharya Vihar, Bhubaneswar","RRB Entrance Exam Coaching, UGC NET coaching",
113,UDAAN Academy," Near Crown , Rasulgarh","RRB Entrance Exam Coaching, Online mock test series exam coaching",
114,Bismaya Clases,"CRPF Square, Bhubaneswar - ","RRB Entrance Exam Coaching, Teachers exam coaching",
115,VSC/CAREERPOWER,"Infront of Rd womens college, Sahid Nagar, Bhubaneswar","RRB Entrance Exam Coaching, UGC NET coaching",
116,"Wizdom - Education, Training & Placement Services","Behind Pantaloon, Saheed Nagar, Bhubaneswar","RRB Entrance Exam Coaching, Online mock test series exam coaching",
117,DAS Tutorial," Rupali Square, Sahid Nagar","Chartered Accountant Coaching, Chartered accountant tuitions",+911140164592_
118,Coaching Centre,", Bhubaneswar - ","Chartered Accountant Coaching, Chartered accountant tuitions",
119,The Gate Academy,"2nd Floor, CRPF Square","Chartered Accountant Coaching, Chartered accountant tuitions",+912249427339_
120,Ionox Software,"Bomikhal, Bhubaneswar - 727002","Chartered Accountant Coaching, Chartered accountant tuitions",
