,NAME,LOCATION,COURSES,CONTACT NO.
159,Concept Classes,"Pratap Colony, Mundian Kalan","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
160,The Gate Academy,Also Servicing in Ludhiana,"National Talent Search Exam (NTSE) Coaching, UGC NET coaching",+914449919914_
161,Synergy IAS Academy,Also Servicing in Ludhiana,"National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
162,K2 Solutions," Ferozepur Road, Ferozepur Road, Ludhiana","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
163,Panacea Bharti Institute,"Bhaiwala Chowk, Ferozepur Road","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
164,M Learning India,Also Servicing in Ludhiana,"National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
165,LOCAS INSTITUTE," 4th floor, Ferozepur Road","National Talent Search Exam (NTSE) Coaching, Teachers exam coaching",
166,Vivekananda IAS," Bhai Bala chowk, Ferozepur Road","RRB Entrance Exam Coaching, UPSC exam coaching",
167,Sunny Coaching Classes," Street No. 1, Sham Nagar, Ludhiana","RRB Entrance Exam Coaching, UPSC exam coaching",
168,IBT Institute,"SCO-3 Feroz Gandhi Market, Pakhowal Road, Ludhiana","RRB Entrance Exam Coaching, Defence / police exam coaching",
169,Eduworm Study Abroad Counselors,"Ghumar Mandi, Ghumar Mandi, Ludhiana","RRB Entrance Exam Coaching, SSC exam coaching",
170,Shiksha Academy," Dana Mandi Jalandhar Bye Pass, Salem Tabri, Ludhiana","RRB Entrance Exam Coaching, Teachers exam coaching",
171,Mahendra Educational Pvt. Ltd.,"2nd Floor, Link Road","RRB Entrance Exam Coaching, SSC exam coaching",
172,Brahma Career Institute," Model Town Extension Market, Model Town Extension, Ludhiana","RRB Entrance Exam Coaching, Defence / police exam coaching",+918956704439_
173,The Gate Academy,Also Servicing in Ludhiana,"RRB Entrance Exam Coaching, UGC NET coaching",+914449919914_
174,Synergy IAS Academy,Also Servicing in Ludhiana,"RRB Entrance Exam Coaching, UPSC exam coaching",
175,K2 Solutions," Ferozepur Road, Ferozepur Road, Ludhiana","RRB Entrance Exam Coaching, UPSC exam coaching",
176,Kalyan Educational Institute," Feroze Gandhi Market, Ferozepur Road","Chartered Accountant Coaching, Chartered accountant tuitions",+911141108741_
177,Shri Krishna Tutorial,"Santokh Nagar, New Shivpuri","Chartered Accountant Coaching, Chartered accountant tuitions",
178,Team Tutorial," Char Khambha Road, Model Town Extension","Chartered Accountant Coaching, Chartered accountant tuitions",
179,Pride Tutorials," Bebe Nanaki Road, Model Town","Chartered Accountant Coaching, Chartered accountant tuitions",
180,Kalyan Institute,"Feroze Gandhi Market, Ferozepur Road","Chartered Accountant Coaching, Chartered accountant tuitions",
