,NAME,LOCATION,COURSES,CONTACT NO.
82,Ignite Home Tutors,"Near Tara Pan Center, Osmanpura","Spoken English Classes, Foreign language training",+912249431194_
83,Aasawa Brothers Commerce Academy," N2, CIDCO","Spoken English Classes, Spoken english training",
84,Nayan Kulkarni Spoken English Classes," Darga Road, Osmanpura","Spoken English Classes, Spoken english training",
85,Spoken English Classes,"Osmanpura , Osmanpura","Spoken English Classes, Spoken english training",
86,Yuva Parivartan Academy," Aurangabad, CIDCO","Spoken English Classes, Spoken english training",
87,Mandal Tuition Classes,"Tirupati Park, CIDCO","Spoken Bengali Classes, Indian language training",
88,Hallmark Group of Educational Institutes," N- 13, Hudco","Spoken Bengali Classes, Indian language training",
89,Aditya Carrier Academy," Trimurthy Chowk, Garkheda","Spoken Bengali Classes, Indian language training",
90,Wisdom Career Solutions,"Hivale Patil Lawn, Beed Bypass Road","Spoken Bengali Classes, Indian language training",
91,PT Education,"Choudhary Chamber, Aurangabad H.O.","Spoken Bengali Classes, Indian language training",
92,Hallmark Group of Educational Institutes," N- 13, Hudco","Spoken Kannada Classes, Indian language training",
93,Aditya Carrier Academy," Trimurthy Chowk, Garkheda","Spoken Kannada Classes, Indian language training",
94,Wisdom Career Solutions,"Hivale Patil Lawn, Beed Bypass Road","Spoken Kannada Classes, Indian language training",
95,PT Education,"Choudhary Chamber, Aurangabad H.O.","Spoken Kannada Classes, Indian language training",
96,OCF,"N 7, CIDCO","GMAT Coaching, Law entrance exam coaching",
97,OCF,"N 7, CIDCO, Aurangabad","GRE Coaching, Law entrance exam coaching",
98,Arzoo Education Consultants," Lower Ground Floor, Garkheda, Aurangabad","GRE Coaching, Foreign education entrance exam coaching",+912249429118_
99,Hallmark Group of Educational Institutes," N- 13, Hudco","IELTS Coaching, Management entrance exam coaching",
100,OCF,"N 7, CIDCO","IELTS Coaching, Law entrance exam coaching",
101,Arzoo Education Consultants," Lower Ground Floor, Garkheda","IELTS Coaching, Foreign education entrance exam coaching",+912249429118_
102,OCF,"N 7, CIDCO, Aurangabad","IELTS Online Coaching, Law entrance exam coaching",
103,OCF,"N 7, CIDCO","PTE Coaching, Law entrance exam coaching",
104,Arzoo Education Consultants," Lower Ground Floor, Garkheda","PTE Coaching, Foreign education entrance exam coaching",+912249429118_
105,OCF,"N 7, CIDCO","SAT Coaching, Law entrance exam coaching",
106,Hallmark Group of Educational Institutes," N- 13, Hudco","TOEFL Coaching, Management entrance exam coaching",
107,OCF,"N 7, CIDCO","TOEFL Coaching, Law entrance exam coaching",
108,Arzoo Education Consultants," Lower Ground Floor, Garkheda","TOEFL Coaching, Foreign education entrance exam coaching",+912249429118_
109,OCF,"N 7, CIDCO, Aurangabad","CET Entrance Coaching, Law entrance exam coaching",
110,Hallmark Group of Educational Institutes," N- 13, Hudco, Aurangabad","CET Entrance Coaching, Management entrance exam coaching",
