,NAME,LOCATION,COURSES,CONTACT NO.
330,Sc Overseas Consultancy Services Pvt. Ltd.," 4th Floor, Dalhousie","PTE Coaching, Foreign education entrance exam coaching",+911140166337_
331,Blue Sky Educational Services Pvt. Ltd.," India, Ballygunge","PTE Coaching, Foreign education entrance exam coaching",+911140132596_
332,Diksha Learning Services Pvt. Ltd.," Hindustan Park, Gariahat","PTE Coaching, Law entrance exam coaching",+919883014949_
333,Education & You," Kundal Lal Saighal Sarani., New Alipore","PTE Coaching, Management entrance exam coaching",+911140118352_
334,Y- Axis Solutions Pvt. Ltd.,Also Servicing in Kolkata,"PTE Coaching, Management entrance exam coaching",+918048031105_
335,Anannt Training Institute,Also Servicing in Kolkata,"PTE Coaching, Management entrance exam coaching",+912249433390_
336,PTE Academy,Also Servicing in Kolkata,"PTE Coaching, Foreign education entrance exam coaching",+918048051574_
337,Cadd Centre Ultadanga," Scheme 7m, Salt Lake City","PTE Coaching, Foreign education entrance exam coaching",+919883029934_
338,Super Achievers Abroad Education,Also Servicing in Kolkata,"PTE Coaching, Foreign education entrance exam coaching",+911140125873_
339,Taksheela Institute of Education," Palm Avenue, Ballygunge","SAT Coaching, Management entrance exam coaching",+911140137846_
340,Eduaims Educational Services Pvt. Ltd.," Ballygunj Circular Road, Ballygunge","SAT Coaching, Management entrance exam coaching",+911140137563_
341,Blue Sky Educational Services Pvt. Ltd.," India, Ballygunge","SAT Coaching, Foreign education entrance exam coaching",+911140132596_
342,Cubix Educational Institute Pvt. Ltd.," Kamdhenu Building, Park Street","SAT Coaching, Management entrance exam coaching",+911140139860_
343,IMS Learning Resources Pvt. Ltd.,Also Servicing in Kolkata,"SAT Coaching, Law entrance exam coaching",+919066021467_
344,IMS Learning Resources Pvt. Ltd.," Hungerford Street, Elgin","SAT Coaching, Law entrance exam coaching",+911141109586_
345,Diksha Learning Services Pvt. Ltd.," Hindustan Park, Gariahat","SAT Coaching, Law entrance exam coaching",+919883014949_
346,Education & You," Kundal Lal Saighal Sarani., New Alipore","SAT Coaching, Management entrance exam coaching",+911140118352_
347,Mitul Gada Associates,Also Servicing in Kolkata,"SAT Coaching, Management entrance exam coaching",+912249427154_
348,Y- Axis Solutions Pvt. Ltd.,Also Servicing in Kolkata,"SAT Coaching, Management entrance exam coaching",+918048031105_
349,Taksheela Institute of Education," Palm Avenue, Ballygunge","TOEFL Coaching, Management entrance exam coaching",+911140137846_
350,Sc Overseas Consultancy Services Pvt. Ltd.," 4th Floor, Dalhousie","TOEFL Coaching, Foreign education entrance exam coaching",+911140166337_
351,Blue Sky Educational Services Pvt. Ltd.," India, Ballygunge","TOEFL Coaching, Foreign education entrance exam coaching",+911140132596_
352,Vidya.com Consultancy Pvt. Ltd.,"Saha Para, Tollygunge","TOEFL Coaching, Management entrance exam coaching",+911140135189_
353,Diksha Learning Services Pvt. Ltd.," Hindustan Park, Gariahat","TOEFL Coaching, Law entrance exam coaching",+919883014949_
354,Kaberi Chakraborty," Sector 1, Salt Lake City","TOEFL Coaching, Foreign education entrance exam coaching",+911140137984_
355,Education & You," Kundal Lal Saighal Sarani., New Alipore","TOEFL Coaching, Management entrance exam coaching",+911140118352_
356,Y- Axis Solutions Pvt. Ltd.,Also Servicing in Kolkata,"TOEFL Coaching, Management entrance exam coaching",+918048031105_
357,Anannt Training Institute,Also Servicing in Kolkata,"TOEFL Coaching, Management entrance exam coaching",+912249433390_
358,Cadd Centre Ultadanga," Scheme 7m, Salt Lake City","TOEFL Coaching, Foreign education entrance exam coaching",+919883029934_
359,Prime," India, Kankurgachi, Kolkata","CET Entrance Coaching, Law entrance exam coaching",+919883014501_
360,Ranquer," Jatin Das Park, Bhowanipore, Kolkata","CET Entrance Coaching, ENGG / ARCH entrance exam coaching",+911140131048_
