,NAME,LOCATION,COURSES,CONTACT NO.
72,IBOP Academy," Ganesh Niwash 3, Borivali West, Mumbai","CAT Coaching Centers, Law entrance exam coaching",+912249426938_
73,Uni Entree,"Thakur Niwas, Thane West, Mumbai","CAT Coaching Centers, Management entrance exam coaching",+912249427395_
74,Study Campus," Chandavarkar Road, Borivali West, Mumbai","CAT Coaching Centers, Law entrance exam coaching",+912249440367_
75,ICE College of Management," Sector 16, Nerul, Mumbai","CAT Coaching Centers, Management entrance exam coaching",+912249410955_
76,EQL Classes,Also Servicing in Mumbai,"CAT Coaching Centers, Law entrance exam coaching",+912249434118_
77,MBA Pathshala LLP," M.G Road, Ghatkopar East, Mumbai","CAT Coaching Centers, Law entrance exam coaching",+912249432723_
78,MBA PATHSHAL@," Station Road, Borivali West","CAT Coaching Centers, Law entrance exam coaching",+912249431429_
79,Planet.e," Dadar East, Dadar East, Mumbai","CAT Coaching Centers, Management entrance exam coaching",+912249440254_
80,The Prayas India," Centre Square , Andheri West, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249433084_
81,The Prayas India," SV Road, Borivali West, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249434184_
82,IBOP Academy," Ganesh Niwash 3, Borivali West, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249426938_
83,Uni Entree,"Thakur Niwas, Thane West, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+912249427395_
84,Study Campus," Chandavarkar Road, Borivali West, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249440367_
85,ICE College of Management," Sector 16, Nerul, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+912249410955_
86,EQL Classes,Also Servicing in Mumbai,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249434118_
87,Planet.e," Dadar East, Dadar East, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+912249440254_
88,IMS Learning Resources Pvt. Ltd.," BKC Road, Bandra East, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249427562_
89,PrepSOLO," S V ROAD , Zalawad Nagar, Mumbai","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+912249411061_
90,Study Campus," Chandavarkar Road, Borivali West, Mumbai","CTET Coaching, UPSC exam coaching",+912249440367_
91,ICE College of Management," Sector 16, Nerul, Mumbai","CTET Coaching, UPSC exam coaching",+912249410955_
92,Social IAS Academy,"Nalasopara east Palghar-401209, Virar West, Mumbai","CTET Coaching, UGC NET coaching",+912249427902_
93,Career Academy," opposite bhayander railway station, Bhayander East, Mumbai","CTET Coaching, UGC NET coaching",+912249412051_
94,Mindgame Coaching Classes," behind right side mcdonalds, Andheri West, mumbai","CTET Coaching, UGC NET coaching",+912249436915_
95,Career Institute Since 1990," MG Road, Borivali East, Mumbai","CTET Coaching, Teachers exam coaching",+912249410840_
96,The Competitive Campus," Damodar Apartment, Thane West, Mumbai","CTET Coaching, Teachers exam coaching",+912249433388_
97,Knowledge House Coaching Classes," Shanti Nagar, Mira Road","CTET Coaching, Teachers exam coaching",
98,Institute of Taxation & Accountancy,"Sector 15A, Panvel","CTET Coaching, Teachers exam coaching",
99,Sapna Classes,"Comet Guru Nanak Road , Bandra West","CTET Coaching, UPSC exam coaching",
100,Indian Institute of Knowledge & Development," Anand Nagar, Vasai West, Mumbai","IBPS Bank Interview Coaching, Bank exam coaching",+912249410933_
101,Bankers Pathshala," Chandavarkar Road., Borivali West, Mumbai","IBPS Bank Interview Coaching, Bank exam coaching",+912249411070_
102,Career Academy," opposite bhayander railway station, Bhayander East, Mumbai","IBPS Bank Interview Coaching, Bank exam coaching",+912249412051_
103,The Competitive Campus," Damodar Apartment, Thane West, Mumbai","IBPS Bank Interview Coaching, Bank exam coaching",+912249433388_
104,Apex Academy," Shukla Sadan, Kalyan East, Mumbai","IBPS Bank Interview Coaching, Bank exam coaching",+912249426902_
105,Apti Academy,Also Servicing in Mumbai,"IBPS Bank Interview Coaching, Bank exam coaching",+912249428242_
106,Akshat,"Dr. A.B. Road, Dadar","IBPS Bank Interview Coaching, Bank exam coaching",
