,NAME,LOCATION,COURSES,CONTACT NO.
111,Manthan Academy," Vivek Khand, Gomti Nagar, Lucknow","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
112,Sparkle English Classes,"Central Water Commission Office, Kapoorthala","RRB Entrance Exam Coaching, UPSC exam coaching",
113,Edunext India,"Nawal Kishore Road, Hazratganj","RRB Entrance Exam Coaching, UPSC exam coaching",
114,URIT EDUCATION," CAMPWELL ROAD, Balaganj","RRB Entrance Exam Coaching, Teachers exam coaching",
115,Tech Forum,"Sector 13, Indira Nagar","RRB Entrance Exam Coaching, SSC exam coaching",
116,skynercreation.com," faizabad Road lucknow, Faizabad Road, Lucknow","RRB Entrance Exam Coaching, UGC NET coaching",
117,Individual Maths for SSC & Bank,"Building No. 4/7, Gomti Nagar, Lucknow","RRB Entrance Exam Coaching, SSC exam coaching",
118,Engineer's Point Coaching,"Adhohi Road, Kakori","RRB Entrance Exam Coaching, UPSC exam coaching",
119,shradha institution for competitive examination,"gomti nagar (vivek khand-5)lucknow, Gomti Nagar, Lucknow","RRB Entrance Exam Coaching, Defence / police exam coaching",
120,Vision Academy," Lucknow, Telibagh","RRB Entrance Exam Coaching, UGC NET coaching",
121,teacher for competitive maths,"12/133 sec 12 indira nagar lko up, Indira Nagar, Lucknow","RRB Entrance Exam Coaching, Teachers exam coaching",
122,Nexgen Academy," Gole Market, Mahanagar","Chartered Accountant Coaching, Chartered accountant tuitions",+911140135075_
123,Francis Commerce Coaching," Lucknow, Gomti Nagar","Chartered Accountant Coaching, Chartered accountant tuitions",+911140135473_
124,Avadh Tutorials,"Kanpur Road, Charbagh","Chartered Accountant Coaching, Chartered accountant tuitions",
125,Edunext India,"Nawal Kishore Road, Hazratganj","Chartered Accountant Coaching, Chartered accountant tuitions",
126,CPIA Educational Services Pvt. Ltd.,"Prince Complex, Hazratganj","Chartered Accountant Coaching, Chartered accountant tuitions",
127,APEX Coaching Classes,"Sector N, Ashiana","Chartered Accountant Coaching, Chartered accountant tuitions",
128,Aspire Commerce Academy,"Vinamra Khand, Gomti Nagar","Chartered Accountant Coaching, Chartered accountant tuitions",
129,Commerce Gurukul,"Lucknow., Jankipuram","Chartered Accountant Coaching, Chartered accountant tuitions",
130,Commerce home tuitions,"Gomti Nagar, Indira Nagar","Chartered Accountant Coaching, Chartered accountant tuitions",
131,Nexgen Academy," Gole Market, Mahanagar, Lucknow","CACPT Coaching, Chartered accountant tuitions",+911140135075_
132,Francis Commerce Coaching," Lucknow, Gomti Nagar, lucknow","CACPT Coaching, Chartered accountant tuitions",+911140135473_
