,NAME,LOCATION,COURSES,CONTACT NO.
95,Shivaay Institute,"Ideal Colony, Kothrud","CTET Coaching, UGC NET coaching",
96,IBT Institute Pvt. Ltd.," Vaiduwadi, Hadapsar","CTET Coaching, Teachers exam coaching",
97,GROWTH COACHING CLASSES,"Dighi, Pune - 411015","CTET Coaching, UGC NET coaching",
98,GESS,"Pune Cantonment, Pune - 411001","CTET Coaching, UGC NET coaching",
99,Faculty Recruitment Services,", Pune - ","CTET Coaching, UGC NET coaching",
100,Winner Institute Of Competitive Examination," Lalabahadur Shastr, Sadashiv Peth, Pune","IBPS Bank Interview Coaching, Bank exam coaching",+912249431938_
101,TARGET POINT INSTITUTE,"Pune - 411005__Above Panchali hotel, Shivaji Nagar, Pune","IBPS Bank Interview Coaching, Bank exam coaching",+912249429553_
102,Apti Academy," Sadashiv Peth, Sadashiv Peth, Pune","IBPS Bank Interview Coaching, Bank exam coaching",+912249428242_
103,Avensys Foundation,"HADAPSAR, Hadapsar","IBPS Bank Interview Coaching, Bank exam coaching",
104,Fujiyama Japanese Language Institute,"Erandwane Road, Erandwane","IBPS Bank Interview Coaching, Bank exam coaching",
105,Shiksha Acadamy,"Pune 411058, Warje, Pune","IBPS Bank Interview Coaching, Bank exam coaching",
106,Mitcon E School,"No. 24, Viman Nagar, Pune","IBPS Bank Interview Coaching, Bank exam coaching",
107,Swami Vivekanand Academy Of Excellence,"Office 2, Warje, Pune","IBPS Bank Interview Coaching, Bank exam coaching",
108,NIIT Camp,"M.G. Road, Camp","IBPS Bank Interview Coaching, Bank exam coaching",
109,Rakesh Singh,"Karve Road, Karve Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
110,ICE College of Management,Also Servicing in Pune,"KMAT Coaching, Management entrance exam coaching",+912249410955_
111,IMS Learning Resources Pvt. Ltd.,Also Servicing in Pune,"KMAT Coaching, Law entrance exam coaching",+919066021467_
112,IMS Learning Resources Pvt. Ltd.," 1st Floor, Deccan Gymkhana, Pune","KMAT Coaching, Law entrance exam coaching",+912249429642_
113,AptitudeMate,Also Servicing in Pune,"KMAT Coaching, Law entrance exam coaching",+911140120301_
114,Shivaay Institute,"Ideal Colony, Kothrud","KMAT Coaching, Management entrance exam coaching",
115,Smartcomm," Phoenix Market City, Viman Nagar, Pune","KMAT Coaching, Management entrance exam coaching",+912249430528_
116,Gyantech Academy,"Chinchwad, Pune - 411044","KMAT Coaching, Management entrance exam coaching",
117,Protons Training Solutions,"Erandwane, Pune - 411004","KMAT Coaching, Law entrance exam coaching",
118,ACS Academy Pvt. Ltd.," Bhosale Shinde Arcade, Deccan Gymkhana, Pune","KMAT Coaching, Law entrance exam coaching",
119,EMC2 Education Services Pvt. Ltd.,"Salunke Vihar Road, Kondhwa, Pune","KMAT Coaching, Law entrance exam coaching",
120,Foreign Language Institute," Banthia Shoppee, Aundh, Pune","Language Training Centres, Foreign language training",+919021115680_
121,SGS Academy," Wakad Road, Hinjewadi, Pune","Language Training Centres, Foreign language training",+918928799251_
122,Wrils Academy Pvt. Ltd.," Landmark - Krishna Wadewale, Hadapsar, Pune","Language Training Centres, Spoken english training",+917620395981_
123,Poonam Joshi," Pune , Karve Nagar, pune","Language Training Centres, Foreign language training",+912249430207_
124,Suchitras Foreign Langauge Institute," Near Shantinagar Society, Kondhwa Budruk, Pune","Language Training Centres, Foreign language training",+919021115957_
125,The British Institutes," Sahyadri Hospital, Hadapsar, Pune","Language Training Centres, Foreign language training",+918928260690_
126,Language Pantheon,Also Servicing in Pune,"Language Training Centres, Foreign language training",+911140497757_
127,NJEDUTECH,"3rd Floor tower B Downtown city vista Kharadi, Kharadi","Language Training Centres, Spoken english training",+919883030081_
128,NJEDUTECH,"tower B Downtown city vista Kharadi, Kharadi, Pune","Language Training Centres, Spoken english training",+919021106966_
129,Feinheit Language Classes,Also Servicing in Pune,"Language Training Centres, Foreign language training",+911141136709_
130,Sai Vidya Educations," Pheonix Mall, Viman Nagar, Pune","Law Entrance Coaching, Law entrance exam coaching",+917620790259_
131,Sai Vidya Educations,Also Servicing in Pune,"Law Entrance Coaching, Law entrance exam coaching",+912249465386_
132,Agrawal Classes," L.B. Shastri Road, Sadashiv Peth, Pune","Law Entrance Coaching, Law entrance exam coaching",+917304986327_
133,Amayz Commerce Academy," Senapati Bapat Road, Gokhale Nagar, Pune","Law Entrance Coaching, Law entrance exam coaching",+912249428259_
134,Success Mantra,Also Servicing in Pune,"Law Entrance Coaching, Law entrance exam coaching",+911140130921_
135,EQL Classes," Goodluck Chowk, Deccan Gymkhana, Pune","Law Entrance Coaching, Law entrance exam coaching",+912249434118_
136,IMS Learning Resources Pvt. Ltd.,Also Servicing in Pune,"Law Entrance Coaching, Law entrance exam coaching",+919066021467_
137,IMS Learning Resources Pvt. Ltd.," 1st Floor, Deccan Gymkhana, Pune","Law Entrance Coaching, Law entrance exam coaching",+912249429642_
138,Exam Dost," Maharashtra 411004, Deccan Gymkhana, Pune","Law Entrance Coaching, Law entrance exam coaching",+912249428196_
139,Proton Training Solutions,"Nr. Reliance Mall, Erandwane, pune","Law Entrance Coaching, Law entrance exam coaching",+912249430369_
140,A.R.H. Design Academy," Mayur Colony, Kothrud","NATA Coaching, ENGG / ARCH entrance exam coaching",+918956871482_
