,NAME,LOCATION,COURSES,CONTACT NO.
735,Finesse institute of Art & Animation," Jajmau, Chakeri, Kanpur",Fashion Designing Courses,
736,Jaya Agarwal,Also Servicing in Kanpur,Fashion Designing Courses,+917949075036_
737,Central U.P. Gas Ltd.," Juhi Kala, Hamirpur Road",Fashion Designing Courses,
738,Alt Training College,"No. 7C, Rooma",Fashion Designing Courses,
739,Euphoria Fashion Academy," Gumti No.5 , Darshan Purwa",Fashion Designing Courses,
740,Update Institute of Professional Studies,Also Servicing in Kanpur,Fashion Designing Courses,
741,SRC IT SERVICES,"Mall Road, Kanpur - ",Fashion Designing Courses,
742,SRC IT SERVICES,"Mall Road, Kanpur - ","Gemology Courses, Engineering and technician job training",
743,Printtrade,"48/232-233, General Ganj","Gemology Courses, Engineering and technician job training",
744,Update Institute of Professional Studies,Also Servicing in Kanpur,"Gemology Courses, Engineering and technician job training",
745,NIIT Ltd.,"Arya Nagar Crossing, Arya Nagar","Gemology Courses, Engineering and technician job training",
746,S&S Care Skills Academy Pvt. Ltd.," Rama Devi K.R Puram, Sanigawan Road","HVAC Training, Engineering and technician job training",
747,SRC IT SERVICES,"Mall Road, Kanpur - ","HVAC Training, Engineering and technician job training",
748,Update Institute of Professional Studies,Also Servicing in Kanpur,"HVAC Training, Engineering and technician job training",
749,Aptech Computer Education Kanpur,"Sen Balika Vidyalaya, Kanpur","HVAC Training, Engineering and technician job training",
750,N Power Institute Kanpur,"Office No. 113/ 154, Swaroop Nagar","HVAC Training, Engineering and technician job training",
751,Eduvista Skill Power Academy,Also Servicing in Kanpur,"Industrial Safety Training Courses, Occupational safety job training",+911140166482_
752,Gulf Academy Of Safety (Jamshedpur Branch),Also Servicing in Kanpur,"Industrial Safety Training Courses, Occupational safety job training",+911140164933_
753,Chiranjeev IT and BPO,"Ramadevi, Lal Bangla","Industrial Safety Training Courses, Digital marketing job training",
754,SRC IT SERVICES,"Mall Road, Kanpur - ","Industrial Safety Training Courses, Engineering and technician job training",
755,Printtrade,"48/232-233, General Ganj","Industrial Safety Training Courses, Engineering and technician job training",
756,Update Institute of Professional Studies,Also Servicing in Kanpur,"Industrial Safety Training Courses, Engineering and technician job training",
757,Central Institute Of Fire & Safety Management," Awadh Puri Road, Vikas Nagar","Industrial Safety Training Courses, Occupational safety job training",
758,Viswas Institute Of Fire Engineering & Safety,Also Servicing in Kanpur,"Industrial Safety Training Courses, Occupational safety job training",
759,Jifsa Education & Technical Services Pvt. Ltd.,Also Servicing in Kanpur,"Industrial Safety Training Courses, Banking, Finance & GST job training",
760,Jifsa Education & Technical Services Pvt Ltd,Also Servicing in Kanpur,"Industrial Safety Training Courses, Occupational safety job training",
761,english speaking & personality development classes," naubasta , Naubasta","Leadership Management Training, Digital marketing job training",
762,SRC IT SERVICES,"Mall Road, Kanpur - ","Leadership Management Training, Engineering and technician job training",
763,Printtrade,"48/232-233, General Ganj","Leadership Management Training, Engineering and technician job training",
764,Youtuber,"Darshan Purwa, Kanpur - 208012","Leadership Management Training, Engineering and technician job training",
765,Business Excellence Institute Pvt. Ltd.,"Mirpur, Kanpur - 208001","Leadership Management Training, Engineering and technician job training",
766,Update Institute of Professional Studies,Also Servicing in Kanpur,"Leadership Management Training, Engineering and technician job training",
767,Central U.P. Gas Ltd.," Juhi Kala, Hamirpur Road","Leadership Management Training, Engineering and technician job training",
